PLR_ID,theft_count
01100101,26
01100102,76
01100103,55
01100104,47
01100205,26
01100206,135
01100207,106
01100308,111
01100309,155
01100310,151
01100311,82
01100312,76
01100313,82
01100414,52
01100415,121
01100416,139
01200517,24
01200518,33
01200519,48
01200520,73
01200521,18
01200522,97
01200623,69
01200624,51
01200625,52
01200626,50
01200627,11
01200628,37
01200629,66
01300730,40
01300731,39
01300732,37
01300733,86
01300834,65
01300835,50
01300836,91
01400937,29
01400938,39
01400939,18
01400940,25
01400941,2
01400942,62
01401043,53
01401044,51
01401045,13
01401046,51
01401047,49
01401048,76
01401049,33
02100101,56
02100102,60
02100103,31
02100104,78
02100105,43
02100106,101
02200207,45
02200208,62
02200209,80
02200210,126
02200211,132
02200212,101
02200213,132
02300314,104
02300315,84
02300316,63
02300417,101
02300418,123
02300419,212
02400520,43
02400521,56
02400522,91
02400623,106
02400624,96
02400625,70
02500726,49
02500727,35
02500728,68
02500729,65
02500830,30
02500831,44
02500832,51
02500833,71
02500834,115
02500835,118
02500836,36
03100101,31
03100102,15
03100103,49
03200204,3
03200205,22
03200206,70
03200207,53
03200308,11
03200309,24
03200310,20
03300411,38
03300412,79
03300413,9
03300514,67
03300515,1
03300516,27
03300517,2
03400618,24
03400619,33
03400620,18
03400721,145
03400722,46
03400723,120
03400724,35
03400725,38
03400826,95
03400827,53
03400828,39
03400829,22
03400830,66
03400831,7
03500932,27
03500933,43
03500934,53
03500935,35
03500936,50
03501037,30
03501038,32
03601139,43
03601140,73
03601141,74
03601142,137
03601243,153
03601244,92
03601245,134
03601346,84
03601347,105
03601348,99
03601449,36
03601450,33
03601451,94
03601452,53
03601453,50
03701554,110
03701555,105
03701556,84
03701657,15
03701658,85
03701659,78
03701660,118
04100101,37
04100102,15
04200203,5
04200204,2
04200205,7
04200206,7
04200207,24
04200308,33
04200309,58
04200310,46
04200311,48
04300412,41
04300413,72
04300414,111
04300415,41
04300416,113
04300517,63
04300518,43
04300619,43
04300620,28
04300621,95
04300622,88
04300623,120
04300624,82
04400725,3
04400726,23
04400727,44
04400728,8
04400729,10
04400830,43
04400831,7
04400832,14
04400833,5
04400834,26
04400835,48
04500936,62
04500937,32
04500938,45
04500939,39
04501040,42
04501041,44
04501042,92
04501043,73
04501044,42
04501045,75
04501146,34
04501147,69
04501148,34
04501149,62
04501150,17
04501151,47
04501152,52
04501153,58
05100101,7
05100102,6
05100103,8
05100104,6
05100105,7
05100206,3
05100207,5
05100208,21
05100209,11
05100210,5
05100211,6
05100312,2
05100313,14
05100314,9
05100315,17
05100316,66
05100317,8
05200418,10
05200421,2
05200422,3
05200423,11
05200524,7
05200525,8
05200526,3
05200527,12
05200528,6
05200629,63
05200630,23
05200631,16
05200632,4
05200633,4
05200634,13
05300735,13
05300736,18
05300737,26
05300839,20
05300840,21
05300841,17
05400942,5
05400943,12
05400944,4
05400945,3
06100101,34
06100102,89
06100103,75
06100204,17
06100205,23
06100206,23
06100207,25
06100208,23
06100209,38
06100210,17
06200311,6
06200312,19
06200313,32
06200314,10
06200315,14
06200316,6
06200317,3
06200418,1
06200419,3
06200420,35
06200421,42
06200422,53
06200423,8
06300524,20
06300525,4
06300526,96
06300527,64
06300528,31
06300629,21
06300630,25
06300631,11
06300632,23
06300633,33
06300634,42
06400735,64
06400736,30
06400737,76
06400838,51
06400839,55
06400840,47
06400841,12
06400842,41
06400843,28
06400844,29
07100101,102
07100102,94
07100103,63
07100204,89
07100205,44
07100206,84
07200307,67
07200308,60
07200409,80
07200410,24
07200411,29
07200412,31
07200413,73
07200414,23
07300515,58
07300516,36
07300517,75
07300618,46
07300619,51
07400720,69
07400721,29
07400822,17
07400823,31
07400824,39
07400825,18
07400826,14
07400927,74
07400928,21
07501029,10
07501030,18
07501031,26
07501032,12
07501133,23
07501134,13
07501135,1
07601236,6
07601237,12
07601238,20
07601339,3
07601340,9
07601341,9
07601442,7
07601443,4
07601544,20
07601545,3
07601546,22
07601547,3
08100101,67
08100102,72
08100103,47
08100104,47
08100105,37
08100206,118
08100207,39
08100208,98
08100209,54
08100310,78
08100311,88
08100312,85
08100313,33
08100314,128
08100415,74
08100416,65
08100417,96
08100418,83
08100419,31
08100520,11
08100521,12
08200622,15
08200623,27
08200624,23
08200725,3
08200726,24
08200727,18
08200728,3
08200729,9
08200730,14
08200831,12
08200832,9
08200833,11
08300934,22
08300935,10
08301036,10
08301037,22
08401138,2
08401139,11
08401140,4
08401241,12
08401242,8
08401243,18
08401244,34
08401245,7
08401246,7
09100101,264
09100202,47
09100203,30
09100304,71
09100305,30
09100306,8
09100407,44
09100408,30
09100409,11
09200510,28
09200511,65
09200512,17
09200613,146
09200614,11
09200715,127
09200716,61
09200717,31
09200818,31
09200819,25
09300920,21
09300921,15
09300922,15
09300923,16
09301024,20
09301025,23
09301126,54
09301227,4
09301228,6
09401329,33
09401330,2
09401431,17
09401432,5
09401433,24
09401534,49
09401635,11
09501736,52
09501737,68
09501838,41
09501939,52
09501940,39
09501941,16
09502042,14
09502043,53
10100101,18
10100102,5
10100103,9
10100104,8
10100205,3
10100206,11
10100207,13
10100208,7
10100209,7
10100210,14
10100311,14
10100312,16
10100313,1
10100314,7
10100315,5
10100316,9
10200417,9
10200418,13
10200419,1
10200420,8
10200421,5
10200422,3
10200423,8
10200524,23
10200525,5
10200526,8
10200627,3
10200628,4
10200629,13
10200630,5
10300731,34
10300732,17
10300733,45
10300734,24
10400835,11
10400836,44
10400837,7
10400938,18
10400939,53
10400940,13
10400941,7
11100101,2
11100102,9
11100203,5
11100204,13
11100205,7
11100206,16
11100307,20
11100308,21
11100309,13
11200410,26
11200411,18
11200512,34
11200513,40
11200514,44
11200515,15
11300616,25
11300617,15
11300618,14
11300619,22
11300620,17
11300721,20
11300722,68
11300723,8
11300724,19
11300725,45
11300826,51
11400927,38
11400928,10
11400929,80
11400930,16
11400931,18
11401032,21
11401033,10
11401034,37
11401135,27
11401136,11
11401137,53
11501238,51
11501339,53
11501340,33
11501341,100
12100101,26
12100102,28
12100103,20
12100204,23
12100205,54
12100206,13
12200307,10
12200308,9
12200309,33
12200310,15
12200411,3
12200412,11
12200413,13
12200414,1
12200515,50
12400616,2
12400617,5
12400618,35
12400619,3
12400720,36
12400721,42
12400722,46
12400723,52
12500824,33
12500825,29
12500926,23
12500927,25
12500928,21
12500929,5
12500930,16
12601031,5
12601032,9
12601133,8
12601134,26
12601235,17
12601236,4
